market,source_id,gate,horizon,dates,mean_excess,null_pctile,null_p05,null_p95,beats_null_95,loses_null_05,block_null_pctile,block_null_p05,block_null_p95,block_source_ci_lo,block_source_ci_hi,block_ci_crosses_zero,beats_null_95_block,loses_null_05_block
kr,kr.high_yield_value,A_strong,5,15,-0.0036782363457252146,0.3505,-0.014741204554461705,0.015973137639157052,False,False,0.4055,-0.018190658619696178,0.02061471952064377,-0.0459383896202808,0.02957797092633361,True,False,False
kr,kr.high_yield_value,A_strong,20,10,0.08230940596533322,1.0,-0.029528742857824253,0.033549500253316746,True,False,1.0,-0.029528742857824253,0.03354950025331674,,,,True,False
kr,kr.high_yield_value,B_moderate2,5,45,0.0585173216796111,1.0,-0.008927365882839279,0.009485958838904062,True,False,0.9975,-0.011594126752260212,0.011974380295959831,0.006800411902735766,0.1173302811815503,False,True,False
kr,kr.high_yield_value,B_moderate2,20,32,0.16399333552250706,1.0,-0.01620667450500338,0.019227286481879005,True,False,1.0,-0.020270722743404173,0.023505627996272302,0.10695018815207367,0.2229204949897856,False,True,False
kr,kr.high_yield_value,none,5,47,0.02191087472321425,0.9895,-0.008714731133253733,0.009131032945594019,True,False,0.988,-0.011652186479167624,0.011722581070704521,0.0064812237240810845,0.03654190064636648,False,True,False
kr,kr.high_yield_value,none,20,32,0.10587384595082794,1.0,-0.01620667450500338,0.019227286481879005,True,False,1.0,-0.020100614208051284,0.022698330002467064,0.07710683137278722,0.13442099451026857,False,True,False
kr,kr.investor_flow_momentum,A_strong,5,2,-0.0309189112634452,0.048,-0.0304779627968163,0.033648344839491716,False,True,0.048,-0.0304779627968163,0.033648344839491716,,,,False,False
kr,kr.investor_flow_momentum,B_moderate2,5,13,-0.0325541393908043,0.0,-0.014946942784536257,0.015408095480209936,False,True,0.0025,-0.01898072312647301,0.01915892340056171,-0.048059154665896615,-0.015119619586160317,False,False,True
kr,kr.investor_flow_momentum,none,5,29,-0.04455278406110459,0.0,-0.011097569077506636,0.011269197476670477,False,True,0.0,-0.014351620502191569,0.01431535936526349,-0.12299106501401663,0.012392494741823683,True,False,False
kr,kr.investor_flow_momentum,none,20,16,0.014374938531635998,0.855,-0.022810480375770284,0.026949843102487145,False,False,0.855,-0.022810480375770287,0.02694984310248714,,,,False,False
