market,source_id,gate,horizon,window,dates,mean_ret,median_ret,mean_excess,median_excess,dates_beating_market,excess_t_descriptive
crypto,crypto.long_short_skew,rsi45_only,5,recent,16,0.024337821613893414,0.01468092923821909,0.03128861175129851,0.04621021459403727,0.75,3.6189968663666057
crypto,crypto.long_short_skew,rsi45_only,20,earlier,55,-0.07067935198597672,-0.0637206663915945,0.019680224809647567,0.020239408821975363,0.6363636363636364,2.8553407430581044
crypto,crypto.long_short_skew,rsi45_only,20,recent,1,0.05845094918390897,0.05845094918390897,-0.022930046983619425,-0.022930046983619425,0.0,
crypto,crypto.momentum,none,5,earlier,55,-0.05844377396047753,-0.06980797122882139,-0.03521943949280269,-0.03876283245518618,0.16363636363636364,-6.8411992094414495
crypto,crypto.momentum,none,5,recent,16,-0.019459453019446703,-0.043637525045620934,-0.012508662882041608,-0.029974920476382554,0.4375,-1.1682412491705672
crypto,crypto.momentum,none,20,earlier,55,-0.13724704148012518,-0.15467699565801257,-0.04688746468450088,-0.06294690303952724,0.2,-5.688508336662632
crypto,crypto.momentum,none,20,recent,1,0.1119894107927957,0.1119894107927957,0.030608414625267293,0.030608414625267293,1.0,
crypto,crypto.momentum,rsi45_only,5,earlier,55,-0.038171857222939316,-0.045065937469527785,-0.01494752275526449,-0.014810204563228777,0.2727272727272727,-3.0468277032719886
crypto,crypto.momentum,rsi45_only,5,recent,16,-0.006745084394671192,-0.025324031519951204,0.0002057057427339022,0.0032662408127745613,0.625,0.04351516707002741
crypto,crypto.momentum,rsi45_only,20,earlier,55,-0.12400466798257102,-0.13670799817721008,-0.033645091186946745,-0.04027163221343066,0.18181818181818182,-5.2770450264685245
crypto,crypto.momentum,rsi45_only,20,recent,1,0.06118168100733712,0.06118168100733712,-0.020199315160191283,-0.020199315160191283,0.0,
crypto,crypto.oi_surge,none,5,earlier,55,-0.034218782482334884,-0.03607842762880219,-0.01099444801466006,-0.01044240569752016,0.36363636363636365,-1.6506576447844203
crypto,crypto.oi_surge,none,5,recent,16,-0.008948262894978068,-0.01425396330356489,-0.0019974727575729737,0.0005465270010127036,0.5,-0.21554035273825814
crypto,crypto.oi_surge,none,20,earlier,55,-0.09389802912639728,-0.10461499838504273,-0.0035384523307729686,0.0029922585427927806,0.509090909090909,-0.39642199600899625
crypto,crypto.oi_surge,none,20,recent,1,0.05216017049087941,0.05216017049087941,-0.029220825676649,-0.029220825676649,0.0,
crypto,crypto.oi_surge,rsi45_only,5,earlier,55,-0.016124381419464418,-0.026825479387355782,0.007099953048210407,-0.0008879680678446966,0.43636363636363634,1.3685401560498276
crypto,crypto.oi_surge,rsi45_only,5,recent,16,0.007295710332312854,0.005855075677690676,0.014246500469717947,0.016704624300880034,0.6875,1.5019429563006346
crypto,crypto.oi_surge,rsi45_only,20,earlier,55,-0.09106967885830806,-0.10574406476264149,-0.000710102062683793,-0.0063423554968652495,0.43636363636363634,-0.09824686100170459
crypto,crypto.oi_surge,rsi45_only,20,recent,1,0.10312840945453135,0.10312840945453135,0.02174741328700295,0.02174741328700295,1.0,
crypto,crypto.oversold,none,5,earlier,55,-0.018362161318113062,-0.029755837757997998,0.004862173149561766,-0.0017517033415492822,0.45454545454545453,0.9772233231778586
crypto,crypto.oversold,none,5,recent,16,-0.003092313787251654,-0.033925114226801736,0.0038584763501534397,-0.016339466018310322,0.375,0.33308702283102704
crypto,crypto.oversold,none,20,earlier,55,-0.10754643814289291,-0.10405291961621618,-0.01718686134726866,-0.02671446594343487,0.36363636363636365,-2.53295619318829
crypto,crypto.oversold,none,20,recent,1,-0.07588652935158836,-0.07588652935158836,-0.15726752551911677,-0.15726752551911677,0.0,
crypto,crypto.oversold,rsi45_only,5,earlier,55,-0.018362161318113062,-0.029755837757997998,0.004862173149561766,-0.0017517033415492822,0.45454545454545453,0.9772233231778586
crypto,crypto.oversold,rsi45_only,5,recent,16,-0.003092313787251654,-0.033925114226801736,0.0038584763501534397,-0.016339466018310322,0.375,0.33308702283102704
crypto,crypto.oversold,rsi45_only,20,earlier,55,-0.10754643814289291,-0.10405291961621618,-0.01718686134726866,-0.02671446594343487,0.36363636363636365,-2.53295619318829
crypto,crypto.oversold,rsi45_only,20,recent,1,-0.07588652935158836,-0.07588652935158836,-0.15726752551911677,-0.15726752551911677,0.0,
crypto,crypto.random,none,5,earlier,55,-0.018582877556689914,-0.024332229652621128,0.004641456910984914,-0.0001676949341224407,0.4909090909090909,0.9043467642339219
crypto,crypto.random,none,5,recent,16,0.012613135979628109,-0.007146113901774644,0.0195639261170332,0.013056910682769422,0.75,3.041794620093414
crypto,crypto.random,none,20,earlier,55,-0.08890397784484817,-0.10082071463859883,0.001455598950776122,0.0077069091403126275,0.5636363636363636,0.2545395937366744
crypto,crypto.random,none,20,recent,1,0.06250190762742748,0.06250190762742748,-0.01887908854010093,-0.01887908854010093,0.0,
crypto,crypto.tv_rsi45,none,5,earlier,55,-0.02400233613071231,-0.02951987012067737,-0.0007780016630374832,-0.006221737418975959,0.41818181818181815,-0.12953636317435518
crypto,crypto.tv_rsi45,none,5,recent,16,-0.0120675066271996,-0.01885036634299038,-0.005116716489794506,-0.0020383010438710806,0.5,-1.112288623463705
crypto,crypto.tv_rsi45,none,20,earlier,55,-0.1208551445026619,-0.11446930660727168,-0.030495567707037624,-0.02286123746265689,0.2909090909090909,-4.981719459057355
crypto,crypto.tv_rsi45,none,20,recent,1,0.0002518688281213155,0.0002518688281213155,-0.0811291273394071,-0.0811291273394071,0.0,
crypto,crypto.tv_rsi45,rsi45_only,5,earlier,55,-0.02400233613071231,-0.02951987012067737,-0.0007780016630374832,-0.006221737418975959,0.41818181818181815,-0.12953636317435518
